Year,Category,Movie,Winner,Presenter,Date & Venue,Speech,year_standard,category_standard,year_count,link
1998 (71st) Academy Awards,Honorary Award,No title.,"To Elia Kazan in recognition of his indelible contributions to the art of motion picture direction. (accompanied on stage by his wife, Frances Kazan)","Robert De Niro, Martin Scorsese","March 21, 1999; Dorothy Chandler Pavilion","I thank you very much.  I really like to hear that.  I want to thank the Academy for its courage, generosity.  And I want to tell you that I've been a member of the Academy, on and off, for I don't know how many years, so I'm pleased to say what's best about them:  They're damn good to work with.  I also want to thank... Marty?  Where are you?  Where are you, hiding behind me? Where's Marty?  Thank you [hugging Martin Scorsese].  And Bobby, Bobby De Niro [hugging Robert De Niro].  I want to thank you all very much.  I think I can just slip away.",1998,Honorary Award,1998.25,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=998&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1998 (71st) Academy Awards,Irving G. Thalberg Memorial Award,No title.,Norman Jewison,Nicolas Cage,"March 21, 1999; Dorothy Chandler Pavilion","Not bad for a goy.  What do you say, Irving?  They really keep this show going.  Forty years of filmmaking and they did it in three minutes!  Well, Irving, you're one heavy dude.  I'll tell you that... You want to hold him? He's about twenty pounds! There's a lot of people to thank, of course, but Irving once said that brevity is a great virtue. So, I accept this great honor tonight in the names of all those people who have contributed to my work, my life's work. Forty years ago, I sat at William Wyler's feet and tried to learn how to make movies. And Willy Wyler was a god to me, and he won this award. And I think that's what is so meaningful to me, to join all those filmmakers that have gone before. I would like to thank my immediate loved ones, my family, every actor, writer, editor, cinematographer, production designer, costume designer, sound man and editor I've ever worked with. All those crews in Europe and Canada and the United States.
And my one real regret about winning this prize is that, you know, it's not like the Nobel or the Pulitzer. I mean, the Thalberg Award comes with no money attached. If it did, if it did, I would share it with the Canadian Film Centre and the AFI where the next generation of filmmakers are preparing to entertain the world in the new millennium. And my parting thought to all those young filmmakers is this: Just find some good stories. Never mind the gross, the top ten, bottom ten, what's the rating, what's the demographic. You know something, the biggest grossing picture is not necessarily the best picture, I want to tell you something. So just tell stories that move us to laughter and tears, and perhaps reveal a little truth about ourselves. And as for myself, I hope to see you again next year!",1998,Honorary Award,1998.26,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=999&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Actor in a Leading Role,American Beauty,Kevin Spacey,Gwyneth Paltrow,"March 26, 2000; Shrine Auditorium & Expo Center","This is the highlight of my day.  I hope it is not all downhill from here.  I first have to say that I would like to dedicate this to the man who inspired my performance.  A man who has been my friend and my mentor, and since my father died, a little bit like my father, whose performance in ""The Apartment"" stands as one of the finest we've ever had.  Jack Lemmon, wherever you are, thank you, thank you, thank you. To my friends, for pointing out my worst qualities. I know you do it because you love me. And that's why I loved playing ""Lester,"" because we got to see all of his worst qualities and we still grew to love him. This movie to me is all about how any single act from any single person put out of context is damnable. But the joy of this movie is that it is real beauty. We found real beauty in this extraordinary script by Sam Mendes -- by Alan Ball. It feels like he wrote it though, doesn't it?
I am very proud to be an actor, and I have tried very hard to protect my work; and I am stunned and a bit speechless. And Dianne, thank you for teaching me about caring about the right things, and I love you. And Mother, I don't care what they say about bringing you to award shows. I will always bring you to award shows because I'm proud of you and I love you. And thank you, thank you, thank you.",1999,Actor in a Leading Role,1999.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1000&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Actor in a Supporting Role,The Cider House Rules,Michael Caine,Judi Dench,"March 26, 2000; Shrine Auditorium & Expo Center","Thank you, thank you.  I was looking [gesturing to the monitor], watching all the others, and thinking back when I saw the performances and I was thinking of how the Academy changed ""The winner is..."" to ""The Oscar goes to..."".   And if ever there was a category where the Oscar goes to someone without there being a winner, it's this one.  Because I do not feel like being the winner. You have Michael, who I'd never heard of quite frankly, who is astonishing. You have Jude, who is going to be a big star no matter what happens.  You have Tom, who if you had won this your pot price would have gone down so fast. Have you any idea what supporting actors get paid?  And we only get one motorhome, a small one.  And Haley Osment, what an astonishing... where is he? There he is.  Haley, when I saw you I thought, well that's me out of it.  So really, I'm basically up here, guys, to represent you as what I hope you will all be, a survivor. I want to -- I've got to hurry up or they... Dick [Zanuck], I wasn't here last time, so give me a bit with my speech, the last time I won, so give me a bit extra time, okay? I want to thank Harvey and Bob Weinstein and Meryl Poster at Miramax. Lasse Hallstršm, an extraordinary director, and Richard Gladstein. The wonderful actors I worked with: Tobey Maguire, Charlize Theron, Jane Alexander, Kathy Baker -- all people who inhabit rather than act. And the wonderful children that I acted with there. And last of all, I want to thank my two daughters, Dominique and Natasha, and my wife. Thank you.
",1999,Actor in a Supporting Role,1999.2,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1001&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Actress in a Leading Role,Boys Don't Cry,Hilary Swank,Roberto Benigni,"March 26, 2000; Shrine Auditorium & Expo Center","Thank you, thank you so much.  We have come a long way.  To think that this movie wouldn't have been made three-and-a-half years ago, and we made it now for under two million dollars.   And now this.  It's quite remarkable.  I want to thank the Academy for their support and recognition of me and my work in a movie that is so important, and I am so proud to be a part of it. This movie would have never been made -- I had, just on the off chance that I got up here, I brought this piece of paper because I knew I couldn't forget anyone, because everyone put their heart and soul into this movie and God knows no one got paid. So first, Kimberly Peirce, for her fierce tenacity and vision. Andy Bienen, our co-writer. Killer Films, you guys always make important movies and I thank you for that. John Hart, Jeff Sharp, for being there for me every single minute. Jim Denault, our cinematographer, who was absolutely brilliant. Kerry Barden, Jennifer McNamara, for fighting for me, the casting directors. Chlo‘ Sevigny, the rest of the cast, who portrayed their characters so honestly and brilliantly. Lee Percy, our editor.
I want to thank Michael Stremel, Lindsay Law and Bill Mechanic and everyone at Fox Searchlight for putting their wing around this small, little movie and giving us wings. Larry Moss, my acting coach, who, without him, I could have never given this performance. Thank you, Larry. My mom, who's up there somewhere [in the balcony]. It looks like living out of our car was worth it. Holly Hein, for keeping my head on straight. My publicist Troy Nankin, who is a beautiful, beautiful human being. Kami Putnam, I have to thank you for fighting for me. I'm almost done, I promise. The Independent Film Channel, for helping us finish our movie. And Hylda Queally and David Wirtschafter, for their support.
And last, but certainly not least, I want to thank Brandon Teena for being such an inspiration to us all. His legacy lives on through our movie to remind us to always be ourselves, to follow our hearts, to not conform. I pray for the day when we not only accept our differences, but we actually celebrate our diversity. Thank you very much.",1999,Actress in a Leading Role,1999.3,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1002&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Actress in a Supporting Role,"Girl, Interrupted",Angelina Jolie,James Coburn,"March 26, 2000; Shrine Auditorium & Expo Center","God, I'm surprised nobody has ever fainted up here.  I'm, I'm in shock and I'm so in love with my brother right now.  He just held me and said he loved me and I know he's so happy for me.  And thank you for that.  And thank you to Columbia.  Winona, you're amazing and thank you for supporting all of us through this.  And all the girls in this film are amazing, and Whoopi, everybody, and my family for loving me.  Janeen Schreyer and your sister Michelle -- Michelle, we love you.  Geyer Kosinski.  My mom, who is the most brave, beautiful woman I've ever known.  And my dad, you're a great actor but you're a better father.  And Jamie, this is, you're just, I have nothing without you.  You are the strongest, most amazing man I've ever known and I love you.  And thank you so much.",1999,Actress in a Supporting Role,1999.4,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1003&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Art Direction,Sleepy Hollow,Art Direction: Rick Heinrichs; Set Decoration: Peter Young (Young not present),"Russell Crowe, Julianne Moore","March 26, 2000; Shrine Auditorium & Expo Center","Our set decorator extraordinaire, Peter Young, was unable to come tonight. And if I read the rules correctly I get to take home two of these as a result of that.  I hope so, anyway.  I just hope you don't mind if I brought this [pulling out his notes], the teleprompter doesn't work for me. I share this award with an artist whose unique brilliance I got to glimpse twenty years ago in a wickedly funny short film about a demented dentist, director Tim Burton, whose compelling vision of ""Sleepy Hollow"" was the inspiration we all keyed off of. I also share it with two gifted art directors, Les Tomkins and John Dexter, and three wonderful art departments in London, L.A. and New York. I'm grateful for the support and the prodding of producer Scott Rudin, Adam Schroeder and Larry Franco and the backing of Paramount Pictures' Sherry Lansing and Michelle Manning and Nan Morales. And thanks for the patience and love throughout of my wife Dawn. And thank you to my parents for having me. Thanks.
",1999,Art Direction,1999.5,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1004&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Cinematography,American Beauty,Conrad L. Hall,Brad Pitt,"March 26, 2000; Shrine Auditorium & Expo Center","Oh my God.  Feels like family night with the ""Burnhams"" and the ""Fittses."" I'm looking at somebody that I got to say thanks to immediately [referring to Tom Cruise] because he happened to mention my name to a guy named Sam Mendes. And guess what?  This happened. I can't tell you what a great experience it has been working with this team from DreamWorks. The producers, Dan, and you've seen your moments, Bruce. From a script that I didn't know how we were going to get a movie that anybody liked because they were such unusual characters, until Sam pointed out to me, don't you ever have any unusual thoughts yourself, Conrad, about sixteen-year-old girls that accompany your daughter home? And I thought, oh well... So, I guess we're all part of a wonderful, wonderful, dysfunctional family called the human race, and the ""Fittses"" and the ""Burnhams"" and everybody else partakes of it. But my best family is here tonight. They're my children, my grandchildren, and whose love has supported me all these years.
I know I am going to forget something and I don't know what it is. The team that I had working with me, Aaron Pazanti, Clyde Bryan and Suzanne Trucks and my son Conrad -- Conrad W. -- who shot some additional scenes for us, and David Golia. What a great time it was working. Sam, you're the best. When you showed up looking exactly like Orson Welles I thought to myself, oh my God. And now I know he's like Orson Welles. Anyway, thank you to the Academy. It's a big honor.",1999,Cinematography,1999.6,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1005&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Costume Design,Topsy-Turvy,Lindy Hemming,"Drew Barrymore, Cameron Diaz, Lucy Liu","March 26, 2000; Shrine Auditorium & Expo Center",Thank you.  I'd like to thank Mike Leigh and Simon Channing-Williams and all the people who worked with me to make such beautiful costumes.  And I'd like to thank all of you for giving our little film such a brilliant start.  Thank you.,1999,Costume Design,1999.7,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1006&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Directing,American Beauty,Sam Mendes,Steven Spielberg,"March 26, 2000; Shrine Auditorium & Expo Center","I'm a little bit overwhelmed.  I want to say huge respect, first of all, to my fellow nominees.  It's an honor to be in your company, genuinely.  It's an honor to be here.  I want to say thank you to an astonishing young studio, DreamWorks, for having the courage to hire a bloke from English theatre to do a movie about American suburbia, and then trusting him.  So thank you, Glenn Williamson, Bob Cooper, Walter Parkes, Laurie MacDonald, Jeffrey Katzenberg, David Geffen, Terry Press, and especially thank you to Steven Spielberg for handing me this script in the first place, for handing me this [referring to the Oscar], and for being so generous with your wisdom. Thank you to a fantastic, fantastic cast of actors. I will be forever in your debt. Thank you for giving so much of yourselves to this picture, particularly Kevin and Annette and Chris Cooper and the three younger actorsÑthank you, Wes, and Thora, Mena. Thank you so much to all the people, all my many, many collaborators on this movie. To Dan Jinks and Bruce Cohen, the producers. To Conrad Hall, you're an artist and I love you. To Tom Newman, for your fantastic music. To Naomi Shohan and Julie Weiss, the designers. To my personal heroes, Beth Swofford, you're fabulous, and the equally fabulous Tara Cook. To my editor Tariq Anwar.
To all the people who work and have worked at the Donmar Warehouse theatre in London. To all my friends at home watching in my flat in Primrose HillÑhave a drink for me. To my dad and my stepmother watching back home in South London. To Alan Ball, for a truly original, original screenplay. And finally, I'd like to say thank you to a personal hero of mine who is a big influence on this movie. I want to say thank you to Billy Wilder. And I want to say to him, if my career after this point amounts to one tenth of what yours has been, I will be a very happy man. So to all of those people and especially to you, to the Academy, thank you so, so much.",1999,Directing,1999.8,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1007&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Documentary (Feature),One Day in September,"Arthur Cohn, Kevin Macdonald (accompanied on stage by producer John Battsek)","Uma Thurman, Ethan Hawke","March 26, 2000; Shrine Auditorium & Expo Center","Dear friends at the Academy, first of all I would like to say that this Oscar goes to the terrific team which made ""One Day in September,"" headed by Kevin Macdonald, John Battsek, Justine Wright, Lillian Birnbaum, and above all, last not least, Michael Douglas.  I want you to know that in contrast to all the films you are honoring tonight, this film, which took two years and four months in the making, was only completed in October.  Consequently the film ""One Day in September"" hasn't been released anywhere in the world.  And as a result, with this Oscar, you members of the Academy have given a terrific sign to members of all the world, if the filmmakers, that the Academy in its judgment is not basing itself at all and is not influenced by box office success but it is harping(?) and insisting only on the outstanding quality of a film which can be remembered for a long time.  Thank you so much for this.",1999,Documentary (Feature),1999.9,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1008&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Documentary (Short Subject),King Gimp,"Susan Hannah Hadary, William A. Whiteford","Wes Bentley, Mena Suvari, Thora Birch","March 26, 2000; Shrine Auditorium & Expo Center","We have followed Dan Keplinger for thirteen years.  An amazing spirit in a body that society may not have included, but tonight he is included, and he's honored as an artist, and we thank the Academy for giving him this honor.  And we thank Sheila Nevins at HBO for transforming the world of documentaries and for nurturing us and giving us wings, and in exchange we give her ""King Gimp."" We thank the University of Maryland where we work.  We thank Nancy Walzog at HBO.  My friends and family, I'm here because of you tonight. Linda, supermom, who made Dan's independence possible. And Dan's spirit that touches us all in his writing and his art, who inspired Michael Bacon's music and the sensitive editing of Geof Bartz. Our Baltimore crew. Love to Sussy*, baby wow!
",1999,Documentary (Short Subject),1999.1,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1009&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Film Editing,The Matrix,Zach Staenberg,"Tommy Lee Jones, Ashley Judd","March 26, 2000; Shrine Auditorium & Expo Center","Thank you very much.  It's really wild being up here.  Thank you, Larry and Andy Wachowski, for your vision, creativity, intelligence, daily inspiration, and most of all, your friendship.  You accomplished the seemingly impossible -- a movie with action, suspense, and an intelligent, provocative message. Take the blue pill and stay where you are, or take the red pill and see just how deep the rabbit hole goes.  We had a great team, quite a few of whom have been honored here tonight.  They made my work great.  I'd like to thank Lorenzo Di Bonaventura and everybody at Warner Bros. for the creative freedom and support.  Joel Silver and Barrie Osborne, for fighting some good fights on our behalf.  My entire assistant editing team led by Peter Skarratt, you all know who you are.  Thanks to my wife Bonnie, my son Robert.  I love you. There is no spoon.",1999,Film Editing,1999.11,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1010&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Foreign Language Film,All about My Mother,Spain (accepted by director Pedro Almod’_var),"Antonio Banderas, Pen’©lope Cruz","March 26, 2000; Shrine Auditorium & Expo Center","My God, don't you think they are one of the more beautiful couple, at least Spanish couple? [referring to presenters Antonio Banderas and Pen’©lope Cruz] You know, I come from a country, from a culture very different from this. And you know, in that country now is six years [sic] in the morning, so let me dedicate this to the Spanish people that are watching TV now and they sacrifice their Monday just to look you and me with this. I mean, this is for Spain. I'm going to be very quick, sorry you have to applaud you are so -- I have to be very quick. You know, I also want to thank my sister[s] Marita Cruz(?) and Antonia for the amount of candles that they lit to their favorite saints during the last months. You know, culture different. Thanks to the Virgin of Guadalupe, the Virgin of la Cabeza de Miraculos, the Sacred Heart of Mary, Saint Judas Tadeo(?) and El Jesus de Medinaceli. I told you that we live in a different country, a different culture. Harvey Weinstein, well listen, so, for just to have the one idea, consider my sisters' Oscar campaign. You know, they, they just lighting a lot of candles to these saints, presided by a photograph of my mother with PenŽlope and me next to a twig of laurel, which brings good luck. [Music begins to play.] So, I think now I am going to believe in all this. Well, excuse me, thanks to Sony Classics, because really they believe a lot in our movie. I'm very quick, anyway, [Antonio Banderas starts to playfully pull him off stage] and of course to my brother, and to all of us, and to all the Spanish people. Bye, bye. I have to leave.
",1999,Foreign Language Film,1999.12,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1011&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Makeup,Topsy-Turvy,"Christine Blundell, Trefor Proud","Tobey Maguire, Erykah Badu","March 26, 2000; Shrine Auditorium & Expo Center","Wow.  What can we say?  Mike Leigh, top guy, you are so brilliant.  Thanks to the rest of our team. And thanks.
Thank you.
",1999,Makeup,1999.13,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1012&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Music (Original Score),The Red Violin,John Corigliano,"Charlize Theron, Keanu Reeves","March 26, 2000; Shrine Auditorium & Expo Center","I didn't think I was going to be here, up here, and I'm really speechless, but I just want to tell you thanks so much.  You know, I'm from another world of classical music, and when I write my symphonies and my concertos it's a very lonely profession.  And one thing I have learned about film writing is how communal it is.  And the reason people give thanks is because there's so many people that had so much to do with this film and with the music.  From Peter Gelb from Sony Classics who introduced me to Fran’_ois Girard, the wonderful director of this film, and Niv Fichman the producer.  But then you have to go to the voice of the violin and say, you know, you can write all the notes you want, but if someone doesn't play them like a god they'll never sound that way.  And Joshua Bell, the great violinist, played them like a god. Thank you, Josh.  Esa-Pekka Salonen, and all my other friends.  I would like to thank all my other friends for that.  Thank you so much.",1999,Music (Original Score),1999.14,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1013&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
1999 (72nd) Academy Awards,Music (Original Song),Tarzan,Music and Lyric by Phil Collins,Cher,"March 26, 2000; Shrine Auditorium & Expo Center","Now my life can go on, I think.  Boy, it's been hell I tell you.  You don't know what this means to me.  You don't know what this means to my kids.  It's fantastic.  I've got some people to thank.  I'll do it quickly, I promise.  My friends at Disney who did all the work on ""Tarzan"": Bonnie Arnold, Kevin Lima, Chris Buck, producer and directors.  Chris Montan, who is just an incredible guy, music producer.  Peter Schneider, Tom Schumacher, brilliant minds.  Mr. Glen Keane and all the animators of course, who did such a wonderful job. Mark Mancina, who did a wonderful job on the score.  Rob Cavallo, who helped me produce the record.  My manager Tony Smith, my agent Hilary Shor.  My family, my lovely wife Orianne.  Man, this is tough.  I didn't think it was going to be this tough.  My wife Orianne [inaudible] and my wonderful kids, Lily, Joely and Simon, who really wrote this song for me.  The Academy, thank you for making all the films that I have watched and enjoyed, and thanks for having me here.  And this is fantastic.  Thank you.",1999,Music (Original Song),1999.15,http://aaspeechesdb.oscars.org/results.aspx?AC=NEXT_RECORD&XC=/results.aspx&BU=http%3A%2F%2Faaspeechesdb.oscars.org%2F&TN=aatrans&SN=AUTO8997&SE=1457&RN=1014&MR=0&TR=0&TX=1000&ES=0&CS=0&XP=&RF=WebReportList&EF=&DF=WebReportOscars&RL=0&EL=0&DL=0&NP=255&ID=&MF=oscarsmsg.ini&MQ=&TI=0&DT=&ST=0&IR=0&NR=314&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=utf-8
